Round,EventName,Driver,LapNumber,Stint,Compound,PitInTime,PitOutTime
9,British Grand Prix,ALO,46.0,2.0,HARD,0 days 01:21:17.735000,0 days 01:21:47.635000
9,British Grand Prix,BEA,47.0,2.0,HARD,0 days 01:21:26.513000,0 days 01:21:56.713000
9,British Grand Prix,NOR,48.0,3.0,MEDIUM,0 days 01:21:31.210000,0 days 01:21:59.610000
9,British Grand Prix,OCO,47.0,2.0,HARD,0 days 01:21:33.609000,0 days 01:22:04.809000
9,British Grand Prix,STR,46.0,2.0,HARD,0 days 01:21:40.753000,0 days 01:22:26.953000
9,British Grand Prix,GAS,48.0,2.0,HARD,0 days 01:22:41.160000,0 days 01:23:09.860000
9,British Grand Prix,SAI,48.0,2.0,HARD,0 days 01:23:19.064000,0 days 01:23:48.264000
10,Belgian Grand Prix,HAD,1.0,1.0,HARD,0 days 00:06:46.970000,0 days 00:07:11.126000
10,Belgian Grand Prix,BEA,1.0,1.0,MEDIUM,0 days 00:06:48.812000,0 days 00:07:15.366000
10,Belgian Grand Prix,PER,1.0,1.0,HARD,0 days 00:06:49.762000,0 days 00:07:15.134000
10,Belgian Grand Prix,BOT,1.0,1.0,SOFT,0 days 00:06:58.031000,0 days 00:07:28.625000
10,Belgian Grand Prix,OCO,1.0,1.0,MEDIUM,0 days 00:07:06.712000,0 days 00:07:40.452000
10,Belgian Grand Prix,HAD,2.0,2.0,MEDIUM,0 days 00:09:26.425000,0 days 00:09:49.422000
10,Belgian Grand Prix,PER,12.0,2.0,SOFT,0 days 00:30:09.549000,0 days 00:30:37.166000
10,Belgian Grand Prix,GAS,14.0,1.0,MEDIUM,0 days 00:33:19.807000,0 days 00:33:43.984000
10,Belgian Grand Prix,SAI,14.0,1.0,SOFT,0 days 00:33:42.400000,0 days 00:34:17.241000
10,Belgian Grand Prix,LAW,15.0,1.0,MEDIUM,0 days 00:35:10.554999999,0 days 00:35:34.276999999
10,Belgian Grand Prix,COL,15.0,1.0,MEDIUM,0 days 00:35:14.306000,0 days 00:35:38.452000
10,Belgian Grand Prix,LIN,16.0,1.0,MEDIUM,0 days 00:37:02.469000,0 days 00:37:27.279000
10,Belgian Grand Prix,OCO,16.0,2.0,HARD,0 days 00:37:26.226000,0 days 00:37:50.350000
10,Belgian Grand Prix,VER,17.0,1.0,MEDIUM,0 days 00:38:36.203000,0 days 00:38:59.331000
10,Belgian Grand Prix,STR,17.0,1.0,HARD,0 days 00:40:00.392000,0 days 00:40:32.041000
10,Belgian Grand Prix,ANT,18.0,1.0,MEDIUM,0 days 00:40:35.827000,0 days 00:40:58.920000
10,Belgian Grand Prix,ALB,18.0,1.0,MEDIUM,0 days 00:41:12.806000,0 days 00:41:35.444000
10,Belgian Grand Prix,ALO,19.0,1.0,HARD,0 days 00:43:52.834000,0 days 00:44:16.024000
10,Belgian Grand Prix,LEC,20.0,1.0,MEDIUM,0 days 00:44:36.129000,0 days 00:44:59.293000
10,Belgian Grand Prix,PIA,20.0,1.0,MEDIUM,0 days 00:44:45.881000,0 days 00:45:09.173000
10,Belgian Grand Prix,HAM,20.0,1.0,MEDIUM,0 days 00:44:50.764000,0 days 00:45:22.965000
10,Belgian Grand Prix,HAD,20.0,3.0,HARD,0 days 00:45:02.530000,0 days 00:45:27.257000
10,Belgian Grand Prix,BOR,20.0,1.0,MEDIUM,0 days 00:45:05.930000,0 days 00:45:29.057000
10,Belgian Grand Prix,HUL,20.0,1.0,MEDIUM,0 days 00:45:12.467000,0 days 00:45:38.565000
10,Belgian Grand Prix,BEA,20.0,2.0,HARD,0 days 00:45:28.693000,0 days 00:45:57.675000
10,Belgian Grand Prix,NOR,30.0,1.0,HARD,0 days 01:03:34.566000,0 days 01:04:02.880000
10,Belgian Grand Prix,ALO,31.0,2.0,SOFT,0 days 01:07:43.290000,0 days 01:08:08.036000
10,Belgian Grand Prix,BOT,32.0,2.0,HARD,0 days 01:08:56.694000,0 days 01:09:22.604000
11,Hungarian Grand Prix,STR,8.0,1.0,SOFT,0 days 00:15:41.346000,0 days 00:16:03.046000
11,Hungarian Grand Prix,HAM,13.0,1.0,SOFT,0 days 00:22:21.620000,0 days 00:22:43.320000
11,Hungarian Grand Prix,VER,14.0,1.0,MEDIUM,0 days 00:23:46.669000,0 days 00:24:08.269000
11,Hungarian Grand Prix,COL,15.0,1.0,MEDIUM,0 days 00:25:55.040000,0 days 00:26:17.940000
11,Hungarian Grand Prix,PIA,16.0,1.0,MEDIUM,0 days 00:26:33.852000,0 days 00:26:55.552000
11,Hungarian Grand Prix,LEC,16.0,1.0,SOFT,0 days 00:26:41.676000,0 days 00:27:03.576000
11,Hungarian Grand Prix,GAS,16.0,1.0,MEDIUM,0 days 00:27:14.786000,0 days 00:27:36.186000
11,Hungarian Grand Prix,NOR,17.0,1.0,MEDIUM,0 days 00:28:00.540000,0 days 00:28:22.640000
11,Hungarian Grand Prix,OCO,17.0,1.0,MEDIUM,0 days 00:28:49.903000,0 days 00:29:12.403000
11,Hungarian Grand Prix,SAI,18.0,1.0,SOFT,0 days 00:30:22.324000,0 days 00:30:43.924000
11,Hungarian Grand Prix,HAD,19.0,1.0,MEDIUM,0 days 00:31:16.420000,0 days 00:31:38.220000
11,Hungarian Grand Prix,HUL,19.0,1.0,MEDIUM,0 days 00:31:30.310000,0 days 00:31:51.710000
11,Hungarian Grand Prix,LIN,20.0,1.0,MEDIUM,0 days 00:32:55.402000,0 days 00:33:16.702000
11,Hungarian Grand Prix,LAW,21.0,1.0,MEDIUM,0 days 00:34:20.885000,0 days 00:34:42.785000
11,Hungarian Grand Prix,PER,21.0,2.0,MEDIUM,0 days 00:35:15.179000,0 days 00:35:38.379000
11,Hungarian Grand Prix,ANT,22.0,1.0,MEDIUM,0 days 00:35:16.641999999,0 days 00:35:37.941999999
11,Hungarian Grand Prix,BEA,22.0,1.0,MEDIUM,0 days 00:36:16.382000,0 days 00:36:38.882000
11,Hungarian Grand Prix,ALB,26.0,1.0,MEDIUM,0 days 00:42:20.136000,0 days 00:42:42.236000
11,Hungarian Grand Prix,RUS,27.0,1.0,MEDIUM,0 days 00:42:56.696000,0 days 00:43:18.896000
11,Hungarian Grand Prix,BOR,29.0,1.0,SOFT,0 days 00:46:11.589000,0 days 00:46:33.289000
11,Hungarian Grand Prix,HAM,30.0,2.0,HARD,0 days 00:46:55.302000,0 days 00:47:16.902000
11,Hungarian Grand Prix,PIA,33.0,2.0,HARD,0 days 00:51:04.546000,0 days 00:51:26.246000
11,Hungarian Grand Prix,ALO,34.0,1.0,SOFT,0 days 00:53:49.332000,0 days 00:54:11.432000
11,Hungarian Grand Prix,OCO,35.0,2.0,HARD,0 days 00:55:29.069000,0 days 00:55:51.369000
11,Hungarian Grand Prix,LEC,36.0,2.0,HARD,0 days 00:55:31.438000,0 days 00:55:53.138000
11,Hungarian Grand Prix,STR,37.0,2.0,MEDIUM,0 days 00:58:17.740000,0 days 00:58:41.940000
11,Hungarian Grand Prix,COL,37.0,2.0,HARD,0 days 00:58:20.671000,0 days 00:58:42.871000
11,Hungarian Grand Prix,HUL,39.0,2.0,HARD,0 days 01:00:41.461000,0 days 01:01:03.561000
11,Hungarian Grand Prix,GAS,39.0,2.0,HARD,0 days 01:00:56.586000,0 days 01:01:18.086000
11,Hungarian Grand Prix,VER,41.0,2.0,HARD,0 days 01:02:34.058000,0 days 01:02:56.058000
11,Hungarian Grand Prix,HAD,42.0,2.0,HARD,0 days 01:04:31.983000,0 days 01:04:54.183000
11,Hungarian Grand Prix,LAW,42.0,2.0,HARD,0 days 01:04:54.514000,0 days 01:05:16.014000
11,Hungarian Grand Prix,BEA,42.0,2.0,HARD,0 days 01:06:05.054000,0 days 01:06:27.354000
11,Hungarian Grand Prix,SAI,43.0,2.0,MEDIUM,0 days 01:07:30.243000,0 days 01:07:58.843000
11,Hungarian Grand Prix,PER,46.0,2.0,MEDIUM,0 days 01:12:30.716000,0 days 01:12:54.916000
11,Hungarian Grand Prix,ANT,53.0,2.0,HARD,0 days 01:19:33.974000,0 days 01:19:55.274000
11,Hungarian Grand Prix,RUS,54.0,2.0,HARD,0 days 01:21:36.025000,0 days 01:21:58.025000
11,Hungarian Grand Prix,ALB,54.0,2.0,HARD,0 days 01:23:39.271000,0 days 01:24:01.971000
11,Hungarian Grand Prix,NOR,56.0,3.0,,0 days 01:23:44.520000,0 days 01:24:06.320000
11,Hungarian Grand Prix,SAI,54.0,3.0,SOFT,0 days 01:23:47.468000,0 days 01:24:09.468000
11,Hungarian Grand Prix,HAM,56.0,3.0,HARD,0 days 01:24:03.700000,0 days 01:24:26.100000
11,Hungarian Grand Prix,LEC,56.0,3.0,HARD,0 days 01:24:17.788000,0 days 01:24:39.688000
11,Hungarian Grand Prix,GAS,55.0,3.0,HARD,0 days 01:24:28.241000,0 days 01:24:49.941000
11,Hungarian Grand Prix,ALO,55.0,2.0,MEDIUM,0 days 01:24:38.573000,0 days 01:25:01.173000
