position,points,constructorName,constructorId
1,468.0,Mercedes,mercedes
2,346.0,Ferrari,ferrari
3,287.0,McLaren,mclaren
4,204.0,Red Bull,red_bull
5,75.0,RB F1 Team,rb
6,62.0,Alpine F1 Team,alpine
7,21.0,Haas F1 Team,haas
8,16.0,Audi,audi
9,11.0,Williams,williams
10,3.0,Aston Martin,aston_martin
11,0.0,Cadillac F1 Team,cadillac
