Round,EventName,Driver,Stint,Compound,StintStartLap,StintEndLap,TotalLapsOnStint
8,Austrian Grand Prix,PER,1.0,MEDIUM,1.0,4.0,4
8,Austrian Grand Prix,PIA,1.0,MEDIUM,1.0,19.0,19
8,Austrian Grand Prix,PIA,2.0,HARD,20.0,42.0,23
8,Austrian Grand Prix,PIA,3.0,HARD,43.0,71.0,29
8,Austrian Grand Prix,RUS,1.0,MEDIUM,1.0,19.0,19
8,Austrian Grand Prix,RUS,2.0,HARD,20.0,43.0,24
8,Austrian Grand Prix,RUS,3.0,HARD,44.0,71.0,28
8,Austrian Grand Prix,SAI,1.0,SOFT,1.0,14.0,14
8,Austrian Grand Prix,SAI,2.0,MEDIUM,15.0,24.0,10
8,Austrian Grand Prix,STR,1.0,MEDIUM,1.0,24.0,24
8,Austrian Grand Prix,STR,2.0,SOFT,25.0,45.0,21
8,Austrian Grand Prix,VER,1.0,MEDIUM,1.0,18.0,18
8,Austrian Grand Prix,VER,2.0,HARD,19.0,49.0,31
8,Austrian Grand Prix,VER,3.0,HARD,50.0,71.0,22
9,British Grand Prix,ALB,1.0,MEDIUM,1.0,1.0,1
9,British Grand Prix,ALB,2.0,HARD,2.0,14.0,13
9,British Grand Prix,ALB,3.0,MEDIUM,15.0,23.0,9
9,British Grand Prix,ALB,4.0,SOFT,24.0,35.0,12
9,British Grand Prix,ALB,5.0,SOFT,36.0,40.0,5
9,British Grand Prix,ALB,6.0,SOFT,41.0,43.0,3
9,British Grand Prix,ALO,1.0,MEDIUM,1.0,20.0,20
9,British Grand Prix,ALO,2.0,HARD,21.0,46.0,26
9,British Grand Prix,ALO,3.0,SOFT,47.0,51.0,5
9,British Grand Prix,ANT,1.0,MEDIUM,1.0,35.0,35
9,British Grand Prix,ANT,2.0,HARD,36.0,41.0,6
9,British Grand Prix,ANT,3.0,MEDIUM,42.0,43.0,2
9,British Grand Prix,ANT,4.0,MEDIUM,44.0,52.0,9
9,British Grand Prix,BEA,1.0,MEDIUM,1.0,29.0,29
9,British Grand Prix,BEA,2.0,HARD,30.0,47.0,18
9,British Grand Prix,BEA,3.0,SOFT,48.0,52.0,5
9,British Grand Prix,BOR,1.0,MEDIUM,1.0,26.0,26
9,British Grand Prix,BOR,2.0,HARD,27.0,47.0,21
9,British Grand Prix,BOR,3.0,SOFT,48.0,52.0,5
9,British Grand Prix,BOT,1.0,MEDIUM,1.0,29.0,29
9,British Grand Prix,BOT,2.0,HARD,30.0,46.0,17
9,British Grand Prix,BOT,3.0,SOFT,47.0,52.0,6
9,British Grand Prix,COL,1.0,MEDIUM,1.0,22.0,22
9,British Grand Prix,COL,2.0,HARD,23.0,47.0,25
9,British Grand Prix,COL,3.0,SOFT,48.0,52.0,5
9,British Grand Prix,GAS,1.0,MEDIUM,1.0,23.0,23
9,British Grand Prix,GAS,2.0,HARD,24.0,48.0,25
9,British Grand Prix,GAS,3.0,SOFT,49.0,52.0,4
9,British Grand Prix,HAD,1.0,MEDIUM,1.0,19.0,19
9,British Grand Prix,HAD,2.0,HARD,20.0,38.0,19
9,British Grand Prix,HAD,3.0,MEDIUM,39.0,47.0,9
9,British Grand Prix,HAD,4.0,SOFT,48.0,52.0,5
9,British Grand Prix,HAM,1.0,MEDIUM,1.0,23.0,23
9,British Grand Prix,HAM,2.0,HARD,24.0,48.0,25
9,British Grand Prix,HAM,3.0,SOFT,49.0,52.0,4
9,British Grand Prix,HUL,1.0,MEDIUM,1.0,17.0,17
9,British Grand Prix,HUL,2.0,HARD,18.0,34.0,17
9,British Grand Prix,HUL,3.0,SOFT,35.0,37.0,3
9,British Grand Prix,LAW,1.0,MEDIUM,1.0,28.0,28
9,British Grand Prix,LAW,2.0,HARD,29.0,47.0,19
9,British Grand Prix,LAW,3.0,SOFT,48.0,52.0,5
9,British Grand Prix,LEC,1.0,MEDIUM,1.0,25.0,25
9,British Grand Prix,LEC,2.0,HARD,26.0,48.0,23
9,British Grand Prix,LEC,3.0,SOFT,49.0,52.0,4
9,British Grand Prix,LIN,1.0,MEDIUM,1.0,27.0,27
9,British Grand Prix,LIN,2.0,HARD,28.0,47.0,20
9,British Grand Prix,LIN,3.0,SOFT,48.0,52.0,5
9,British Grand Prix,NOR,1.0,MEDIUM,1.0,28.0,28
9,British Grand Prix,NOR,2.0,HARD,29.0,38.0,10
9,British Grand Prix,NOR,3.0,MEDIUM,39.0,48.0,10
9,British Grand Prix,NOR,4.0,SOFT,49.0,52.0,4
9,British Grand Prix,OCO,1.0,MEDIUM,1.0,21.0,21
9,British Grand Prix,OCO,2.0,HARD,22.0,47.0,26
9,British Grand Prix,OCO,3.0,SOFT,48.0,52.0,5
9,British Grand Prix,PER,1.0,MEDIUM,1.0,21.0,21
9,British Grand Prix,PER,2.0,HARD,22.0,46.0,25
9,British Grand Prix,PER,3.0,SOFT,47.0,52.0,6
9,British Grand Prix,PIA,1.0,MEDIUM,1.0,2.0,2
9,British Grand Prix,PIA,2.0,HARD,3.0,36.0,34
9,British Grand Prix,PIA,3.0,MEDIUM,37.0,47.0,11
9,British Grand Prix,PIA,4.0,SOFT,48.0,52.0,5
9,British Grand Prix,RUS,1.0,MEDIUM,1.0,23.0,23
9,British Grand Prix,RUS,2.0,HARD,24.0,34.0,11
9,British Grand Prix,RUS,3.0,MEDIUM,35.0,52.0,18
9,British Grand Prix,SAI,1.0,MEDIUM,1.0,20.0,20
9,British Grand Prix,SAI,2.0,HARD,21.0,48.0,28
9,British Grand Prix,SAI,3.0,SOFT,49.0,52.0,4
9,British Grand Prix,STR,1.0,MEDIUM,1.0,18.0,18
9,British Grand Prix,STR,2.0,HARD,19.0,46.0,28
9,British Grand Prix,STR,3.0,SOFT,47.0,51.0,5
9,British Grand Prix,VER,1.0,MEDIUM,1.0,17.0,17
9,British Grand Prix,VER,2.0,HARD,18.0,38.0,21
9,British Grand Prix,VER,3.0,MEDIUM,39.0,47.0,9
10,Belgian Grand Prix,ALB,1.0,MEDIUM,1.0,18.0,18
10,Belgian Grand Prix,ALB,2.0,HARD,19.0,44.0,26
10,Belgian Grand Prix,ALO,1.0,HARD,1.0,19.0,19
10,Belgian Grand Prix,ALO,2.0,SOFT,20.0,31.0,12
10,Belgian Grand Prix,ALO,3.0,HARD,32.0,42.0,11
10,Belgian Grand Prix,ANT,1.0,MEDIUM,1.0,18.0,18
10,Belgian Grand Prix,ANT,2.0,SOFT,19.0,44.0,26
10,Belgian Grand Prix,BEA,1.0,MEDIUM,1.0,1.0,1
10,Belgian Grand Prix,BEA,2.0,HARD,2.0,20.0,19
10,Belgian Grand Prix,BEA,3.0,HARD,21.0,44.0,24
10,Belgian Grand Prix,BOR,1.0,MEDIUM,1.0,20.0,20
10,Belgian Grand Prix,BOR,2.0,HARD,21.0,44.0,24
10,Belgian Grand Prix,BOT,1.0,SOFT,1.0,1.0,1
10,Belgian Grand Prix,BOT,2.0,HARD,2.0,32.0,31
10,Belgian Grand Prix,BOT,3.0,SOFT,33.0,43.0,11
10,Belgian Grand Prix,COL,1.0,MEDIUM,1.0,15.0,15
10,Belgian Grand Prix,COL,2.0,HARD,16.0,44.0,29
10,Belgian Grand Prix,GAS,1.0,MEDIUM,1.0,14.0,14
10,Belgian Grand Prix,GAS,2.0,HARD,15.0,44.0,30
10,Belgian Grand Prix,HAD,1.0,HARD,1.0,1.0,1
10,Belgian Grand Prix,HAD,2.0,MEDIUM,2.0,2.0,1
10,Belgian Grand Prix,HAD,3.0,HARD,3.0,20.0,18
10,Belgian Grand Prix,HAD,4.0,HARD,21.0,44.0,24
10,Belgian Grand Prix,HAM,1.0,MEDIUM,1.0,20.0,20
10,Belgian Grand Prix,HAM,2.0,HARD,21.0,44.0,24
10,Belgian Grand Prix,HUL,1.0,MEDIUM,1.0,20.0,20
10,Belgian Grand Prix,HUL,2.0,HARD,21.0,44.0,24
10,Belgian Grand Prix,LAW,1.0,MEDIUM,1.0,15.0,15
10,Belgian Grand Prix,LAW,2.0,HARD,16.0,44.0,29
10,Belgian Grand Prix,LEC,1.0,MEDIUM,1.0,20.0,20
10,Belgian Grand Prix,LEC,2.0,HARD,21.0,44.0,24
10,Belgian Grand Prix,LIN,1.0,MEDIUM,1.0,16.0,16
10,Belgian Grand Prix,LIN,2.0,HARD,17.0,44.0,28
10,Belgian Grand Prix,NOR,1.0,HARD,1.0,30.0,30
10,Belgian Grand Prix,NOR,2.0,MEDIUM,31.0,44.0,14
10,Belgian Grand Prix,OCO,1.0,MEDIUM,1.0,1.0,1
10,Belgian Grand Prix,OCO,2.0,HARD,2.0,16.0,15
10,Belgian Grand Prix,OCO,3.0,HARD,17.0,44.0,28
10,Belgian Grand Prix,PER,1.0,HARD,1.0,1.0,1
10,Belgian Grand Prix,PER,2.0,SOFT,2.0,12.0,11
10,Belgian Grand Prix,PER,3.0,HARD,13.0,13.0,1
10,Belgian Grand Prix,PIA,1.0,MEDIUM,1.0,20.0,20
10,Belgian Grand Prix,PIA,2.0,HARD,21.0,44.0,24
10,Belgian Grand Prix,RUS,1.0,MEDIUM,1.0,1.0,1
10,Belgian Grand Prix,SAI,1.0,SOFT,1.0,14.0,14
10,Belgian Grand Prix,SAI,2.0,HARD,15.0,44.0,30
10,Belgian Grand Prix,STR,1.0,HARD,1.0,17.0,17
10,Belgian Grand Prix,STR,2.0,SOFT,18.0,25.0,8
10,Belgian Grand Prix,VER,1.0,MEDIUM,1.0,17.0,17
10,Belgian Grand Prix,VER,2.0,HARD,18.0,44.0,27
11,Hungarian Grand Prix,ALB,1.0,MEDIUM,1.0,26.0,26
11,Hungarian Grand Prix,ALB,2.0,HARD,27.0,54.0,28
11,Hungarian Grand Prix,ALB,3.0,SOFT,55.0,68.0,14
11,Hungarian Grand Prix,ALO,1.0,SOFT,1.0,34.0,34
11,Hungarian Grand Prix,ALO,2.0,MEDIUM,35.0,55.0,21
11,Hungarian Grand Prix,ALO,3.0,SOFT,56.0,69.0,14
11,Hungarian Grand Prix,ANT,1.0,MEDIUM,1.0,22.0,22
11,Hungarian Grand Prix,ANT,2.0,HARD,23.0,53.0,31
11,Hungarian Grand Prix,ANT,3.0,HARD,54.0,70.0,17
11,Hungarian Grand Prix,BEA,1.0,MEDIUM,1.0,22.0,22
11,Hungarian Grand Prix,BEA,2.0,HARD,23.0,42.0,20
11,Hungarian Grand Prix,BEA,3.0,HARD,43.0,68.0,26
11,Hungarian Grand Prix,BOR,1.0,SOFT,1.0,29.0,29
11,Hungarian Grand Prix,BOR,2.0,HARD,30.0,69.0,40
11,Hungarian Grand Prix,BOT,1.0,MEDIUM,1.0,14.0,14
11,Hungarian Grand Prix,COL,1.0,MEDIUM,1.0,15.0,15
11,Hungarian Grand Prix,COL,2.0,HARD,16.0,37.0,22
11,Hungarian Grand Prix,COL,3.0,HARD,38.0,68.0,31
11,Hungarian Grand Prix,GAS,1.0,MEDIUM,1.0,16.0,16
11,Hungarian Grand Prix,GAS,2.0,HARD,17.0,39.0,23
11,Hungarian Grand Prix,GAS,3.0,HARD,40.0,55.0,16
11,Hungarian Grand Prix,GAS,4.0,SOFT,56.0,69.0,14
11,Hungarian Grand Prix,HAD,1.0,MEDIUM,1.0,19.0,19
11,Hungarian Grand Prix,HAD,2.0,HARD,20.0,42.0,23
11,Hungarian Grand Prix,HAD,3.0,HARD,43.0,70.0,28
11,Hungarian Grand Prix,HAM,1.0,SOFT,1.0,13.0,13
11,Hungarian Grand Prix,HAM,2.0,HARD,14.0,30.0,17
11,Hungarian Grand Prix,HAM,3.0,HARD,31.0,56.0,26
11,Hungarian Grand Prix,HAM,4.0,SOFT,57.0,70.0,14
11,Hungarian Grand Prix,HUL,1.0,MEDIUM,1.0,19.0,19
11,Hungarian Grand Prix,HUL,2.0,HARD,20.0,39.0,20
11,Hungarian Grand Prix,HUL,3.0,SOFT,40.0,69.0,30
11,Hungarian Grand Prix,LAW,1.0,MEDIUM,1.0,21.0,21
11,Hungarian Grand Prix,LAW,2.0,HARD,22.0,42.0,21
11,Hungarian Grand Prix,LAW,3.0,SOFT,43.0,69.0,27
11,Hungarian Grand Prix,LEC,1.0,SOFT,1.0,16.0,16
11,Hungarian Grand Prix,LEC,2.0,HARD,17.0,36.0,20
11,Hungarian Grand Prix,LEC,3.0,HARD,37.0,56.0,20
11,Hungarian Grand Prix,LEC,4.0,SOFT,57.0,70.0,14
11,Hungarian Grand Prix,LIN,1.0,MEDIUM,1.0,20.0,20
11,Hungarian Grand Prix,LIN,2.0,HARD,21.0,69.0,49
11,Hungarian Grand Prix,NOR,1.0,MEDIUM,1.0,17.0,17
11,Hungarian Grand Prix,NOR,2.0,HARD,18.0,39.0,22
11,Hungarian Grand Prix,NOR,3.0,HARD,40.0,56.0,17
11,Hungarian Grand Prix,NOR,4.0,SOFT,57.0,70.0,14
11,Hungarian Grand Prix,OCO,1.0,MEDIUM,1.0,17.0,17
11,Hungarian Grand Prix,OCO,2.0,HARD,18.0,35.0,18
11,Hungarian Grand Prix,OCO,3.0,HARD,36.0,68.0,33
11,Hungarian Grand Prix,PER,1.0,MEDIUM,1.0,21.0,21
11,Hungarian Grand Prix,PER,2.0,None,22.0,46.0,25
11,Hungarian Grand Prix,PER,3.0,SOFT,47.0,48.0,2
11,Hungarian Grand Prix,PIA,1.0,MEDIUM,1.0,16.0,16
11,Hungarian Grand Prix,PIA,2.0,HARD,17.0,33.0,17
11,Hungarian Grand Prix,PIA,3.0,HARD,34.0,56.0,23
11,Hungarian Grand Prix,RUS,1.0,MEDIUM,1.0,27.0,27
11,Hungarian Grand Prix,RUS,2.0,HARD,28.0,54.0,27
11,Hungarian Grand Prix,RUS,3.0,HARD,55.0,70.0,16
11,Hungarian Grand Prix,SAI,1.0,SOFT,1.0,18.0,18
11,Hungarian Grand Prix,SAI,2.0,MEDIUM,19.0,43.0,25
11,Hungarian Grand Prix,SAI,3.0,SOFT,44.0,54.0,11
11,Hungarian Grand Prix,SAI,4.0,SOFT,55.0,68.0,14
11,Hungarian Grand Prix,STR,1.0,SOFT,1.0,8.0,8
11,Hungarian Grand Prix,STR,2.0,MEDIUM,9.0,37.0,29
11,Hungarian Grand Prix,STR,3.0,SOFT,38.0,69.0,32
11,Hungarian Grand Prix,VER,1.0,MEDIUM,1.0,14.0,14
11,Hungarian Grand Prix,VER,2.0,HARD,15.0,41.0,27
11,Hungarian Grand Prix,VER,3.0,SOFT,42.0,70.0,29
