Feature,Importance
QualifyingPosition,0.27507931385031265
TeamPointsBefore,0.2619962654201628
RecentForm,0.08818420692463558
TeamAvgFinishBefore,0.08804673977367601
GridPosition,0.08043196310238991
AvgFinishBefore,0.06425824607467748
PreviousFinish,0.049463243174595904
PointsBefore,0.04680279080277712
DNFRateBefore,0.045737230876772575
